COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF ANGOLA","AGO","0","1","0","0","1","0","0","0","0","1"
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ARGENTINA","ARGN","0","39","0","1","40","2","0","0","2","42"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","27","2","0","29","5","0","0","5","34"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","7","0","0","7","0","0","0","0","7"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF BULGARIA","BGR","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","20","0","0","20","3","0","0","3","23"
"CANADA","CA","0","71","0","5","76","2","0","2","4","80"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","44","48","0","0","43","43","91"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","3","1551","1044","4691","7289","2068","2886","10444","15398","22687"
"COLOMBIA","COL","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF COSTA RICA","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"DENMARK","DEN","0","10","0","0","10","3","0","0","3","13"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","9","0","0","9","0","0","0","0","9"
"EUROPEAN SPACE AGENCY","ESA","0","93","7","52","152","12","7","22","41","193"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","9","0","8","17","0","0","0","0","17"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","57","0","0","57","0","0","0","0","57"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","16","0","0","16","1","0","0","1","17"
"FRANCE","FR","0","74","162","350","586","11","82","661","754","1340"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","78","0","1","79","17","0","1","18","97"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"HUNGARY","HUN","0","1","0","0","1","3","0","0","3","4"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","18","0","0","18","0","0","0","0","18"
"INDIA","IND","0","102","39","77","218","13","25","445","483","701"
"INDONESIA","INDO","0","17","0","0","17","2","0","0","2","19"
"IRAN","IRAN","0","2","1","0","3","4","4","0","8","11"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
